Time,RPM,PWM
11859.00,532.43,200
11869.00,535.00,200
11879.00,535.33,200
11889.00,540.54,200
11899.00,541.21,200
11909.00,542.15,200
11919.00,540.95,200
11929.00,540.56,200
11939.00,541.42,200
11949.00,541.73,200
11959.00,541.59,200
11969.00,543.44,200
11979.00,543.56,200
11990.00,545.64,200
12000.00,547.12,200
12010.00,546.56,200
12020.00,547.48,200
12030.00,544.70,200
12040.00,548.09,200
12050.00,547.74,200
12060.00,547.46,200
12070.00,547.04,200
12080.00,550.60,200
12090.00,551.35,200
12100.00,553.72,200
12110.00,552.92,200
12120.00,554.02,200
12130.00,555.51,200
12140.00,560.71,200
12150.00,560.76,200
12160.00,560.01,200
12170.00,560.58,200
12180.00,560.85,200
12190.00,562.83,200
12200.00,561.31,200
12210.00,565.34,200
12220.00,562.81,200
12230.00,564.78,200
12240.00,568.14,200
12250.00,571.28,200
12260.00,570.16,200
12270.00,572.72,200
12280.00,569.62,200
12290.00,569.00,200
12300.00,569.84,200
12310.00,571.12,200
12320.00,569.83,200
12331.00,573.23,200
12341.00,573.10,200
12351.00,574.17,200
12361.00,573.48,200
12371.00,573.89,200
12381.00,574.62,200
12391.00,574.82,200
12401.00,574.00,200
12411.00,578.03,200
12421.00,576.63,200
12431.00,577.04,200
12441.00,578.55,200
12451.00,578.22,200
12461.00,577.75,200
12471.00,576.19,200
12481.00,578.64,200
12491.00,577.90,200
12502.00,577.68,200
12512.00,577.90,200
12522.00,575.53,200
12536.00,578.81,200
12547.00,582.75,200
12557.00,582.42,200
12567.00,582.74,200
12577.00,582.01,200
12587.00,582.21,200
12597.00,581.78,200
12607.00,582.81,200
12617.00,580.69,200
12627.00,581.14,200
12637.00,585.84,200
12647.00,586.70,200
12657.00,586.61,200
12667.00,586.73,200
12677.00,588.60,200
12687.00,587.57,200
12697.00,588.50,200
12707.00,588.27,200
12717.00,588.48,200
12727.00,589.24,200
12737.00,587.49,200
12747.00,587.85,200
12758.00,586.75,200
12768.00,588.81,200
12778.00,592.46,200
12788.00,594.25,200
12798.00,592.75,200
12808.00,594.48,200
12818.00,594.70,200
12828.00,595.08,200
12838.00,594.81,200
12848.00,595.56,200
12858.00,593.23,200
12868.00,595.25,200
12878.00,594.94,200
12888.00,594.30,200
12898.00,595.74,200
12908.00,595.33,200
12918.00,595.21,200
12928.00,597.85,200
12938.00,596.47,200
12948.00,599.06,200
12958.00,599.02,200
12968.00,600.94,200
12978.00,603.10,200
12988.00,604.86,200
12998.00,602.19,200
13008.00,604.10,200
13018.00,603.71,200
13028.00,605.74,200
13038.00,603.49,200
13048.00,606.12,200
13058.00,605.75,200
13068.00,606.81,200
13078.00,605.53,200
13088.00,604.10,200
13099.00,603.32,200
13109.00,605.03,200
13119.00,608.39,200
13129.00,607.60,200
13139.00,607.93,200
13149.00,609.18,200
13159.00,611.77,200
13169.00,610.54,200
13179.00,611.11,200
13189.00,612.16,200
13199.00,616.16,200
13209.00,615.29,200
13219.00,615.96,200
13229.00,612.59,200
13239.00,614.52,200
13249.00,616.10,200
13259.00,614.85,200
13270.00,613.06,200
13280.00,614.71,200
13290.00,617.44,200
13300.00,618.48,200
13310.00,617.18,200
13320.00,614.55,200
13330.00,613.59,200
13340.00,614.17,200
13350.00,615.05,200
13360.00,613.01,200
13370.00,611.74,200
13380.00,611.50,200
13390.00,611.49,200
13400.00,612.67,200
13410.00,615.41,200
13420.00,616.44,200
13430.00,617.88,200
13440.00,617.08,200
13450.00,617.61,200
13460.00,618.83,200
13470.00,622.98,200
13480.00,622.80,200
13490.00,621.28,200
13500.00,620.63,200
13510.00,619.90,200
13520.00,619.50,200
13530.00,620.37,200
13540.00,622.45,200
13550.00,622.56,200
13560.00,624.43,200
13570.00,623.58,200
13580.00,625.06,200
13590.00,623.31,200
13600.00,624.83,200
13611.00,624.70,200
13621.00,624.39,200
13631.00,625.52,200
13641.00,625.45,200
13651.00,626.58,200
13661.00,626.71,200
13671.00,628.59,200
13681.00,626.97,200
13691.00,627.61,200
13701.00,629.52,200
13711.00,626.37,200
13721.00,625.36,200
13731.00,625.52,200
13741.00,623.69,200
13751.00,627.27,200
13761.00,630.20,200
13771.00,631.81,200
13782.00,633.52,200
13792.00,632.16,200
13802.00,630.26,200
13816.00,626.92,200
13827.00,629.14,200
13837.00,629.18,200
13847.00,628.04,200
13857.00,628.88,200
13867.00,629.17,200
13877.00,629.60,200
13887.00,629.75,200
13897.00,626.93,200
13907.00,625.42,200
