Time,RPM,PWM
10330.00,201.65,150
10340.00,205.09,150
10350.00,206.10,150
10360.00,208.31,150
10370.00,208.71,150
10380.00,208.65,150
10390.00,210.38,150
10400.00,210.40,150
10411.00,212.19,150
10421.00,214.24,150
10431.00,217.49,150
10441.00,220.72,150
10451.00,220.78,150
10461.00,220.23,150
10471.00,220.77,150
10481.00,221.81,150
10491.00,222.85,150
10501.00,224.68,150
10511.00,231.08,150
10521.00,233.17,150
10531.00,233.06,150
10541.00,233.77,150
10551.00,237.51,150
10561.00,236.79,150
10571.00,235.22,150
10582.00,238.83,150
10592.00,239.43,150
10606.00,244.26,150
10616.00,243.07,150
10627.00,246.39,150
10637.00,246.37,150
10647.00,246.55,150
10657.00,246.89,150
10667.00,247.17,150
10677.00,250.73,150
10687.00,250.88,150
10697.00,253.54,150
10707.00,253.95,150
10717.00,258.21,150
10727.00,261.69,150
10737.00,261.56,150
10747.00,261.85,150
10757.00,262.87,150
10767.00,267.06,150
10777.00,265.16,150
10787.00,265.56,150
10797.00,268.42,150
10807.00,268.61,150
10817.00,273.07,150
10827.00,270.10,150
10838.00,272.85,150
10848.00,273.76,150
10858.00,277.61,150
10868.00,275.92,150
10878.00,277.81,150
10888.00,283.32,150
10898.00,282.51,150
10908.00,284.55,150
10918.00,284.10,150
10928.00,286.05,150
10938.00,284.35,150
10948.00,284.89,150
10958.00,286.70,150
10968.00,289.16,150
10978.00,289.60,150
10988.00,288.98,150
10998.00,288.67,150
11008.00,291.94,150
11018.00,296.19,150
11028.00,297.68,150
11038.00,296.53,150
11048.00,297.37,150
11058.00,297.26,150
11068.00,295.21,150
11078.00,298.81,150
11088.00,298.83,150
11098.00,302.15,150
11108.00,302.32,150
11118.00,306.37,150
11128.00,307.52,150
11138.00,309.63,150
11148.00,310.57,150
11158.00,314.48,150
11168.00,313.15,150
11179.00,315.96,150
11189.00,316.69,150
11199.00,321.62,150
11209.00,320.35,150
11219.00,321.24,150
11229.00,320.81,150
11239.00,320.45,150
11249.00,317.24,150
11259.00,317.74,150
11269.00,318.74,150
11279.00,323.69,150
11289.00,327.74,150
11299.00,330.22,150
11309.00,331.25,150
11319.00,329.73,150
11329.00,327.71,150
11339.00,328.22,150
11350.00,328.64,150
11360.00,332.32,150
11370.00,335.32,150
11380.00,333.84,150
11390.00,333.60,150
11400.00,334.98,150
11410.00,337.67,150
11420.00,337.90,150
11430.00,337.89,150
11440.00,338.67,150
11450.00,339.89,150
11460.00,340.69,150
11470.00,339.17,150
11480.00,344.24,150
11490.00,344.42,150
11500.00,345.35,150
11510.00,344.74,150
11520.00,347.75,150
11530.00,346.89,150
11540.00,351.06,150
11550.00,354.27,150
11560.00,351.64,150
11570.00,355.45,150
11580.00,357.63,150
11590.00,356.70,150
11600.00,355.55,150
11610.00,358.30,150
11620.00,357.05,150
11630.00,357.97,150
11640.00,358.14,150
11650.00,360.42,150
11660.00,361.51,150
11670.00,363.56,150
11680.00,365.24,150
11691.00,365.63,150
11701.00,365.15,150
11711.00,366.73,150
11721.00,362.94,150
11731.00,367.01,150
11741.00,364.78,150
11751.00,368.08,150
11761.00,367.94,150
11771.00,368.79,150
11781.00,368.32,150
11791.00,368.53,150
11801.00,371.02,150
11811.00,371.89,150
11821.00,376.94,150
11831.00,379.46,150
11841.00,376.44,150
11851.00,375.73,150
11862.00,377.29,150
11872.00,380.70,150
11886.00,379.29,150
11896.00,380.97,150
11907.00,383.50,150
11917.00,384.01,150
11927.00,383.45,150
11937.00,382.41,150
11947.00,383.91,150
11957.00,383.75,150
11967.00,384.81,150
11977.00,387.04,150
11987.00,383.98,150
11997.00,385.37,150
12007.00,388.26,150
12017.00,385.96,150
12027.00,387.94,150
12037.00,392.51,150
12047.00,392.14,150
12057.00,393.38,150
12067.00,394.01,150
12077.00,395.11,150
12087.00,396.40,150
12097.00,395.10,150
12107.00,394.83,150
12118.00,398.52,150
12128.00,403.76,150
12138.00,401.89,150
12148.00,399.18,150
12158.00,400.68,150
12168.00,401.32,150
12178.00,400.28,150
12188.00,403.14,150
12198.00,401.00,150
12208.00,400.42,150
12218.00,404.01,150
12228.00,404.23,150
12238.00,406.55,150
12248.00,408.25,150
12258.00,407.10,150
12268.00,407.33,150
12278.00,406.35,150
12288.00,404.18,150
12298.00,406.12,150
12308.00,405.75,150
12318.00,404.87,150
12328.00,408.44,150
12338.00,407.84,150
12348.00,407.74,150
12358.00,409.81,150
12368.00,409.93,150
12378.00,413.55,150
12388.00,419.16,150
12398.00,420.69,150
12408.00,417.81,150
12418.00,417.61,150
12428.00,415.89,150
12438.00,418.97,150
12448.00,419.15,150
12459.00,418.32,150
12469.00,420.76,150
12479.00,424.33,150
12489.00,425.86,150
12499.00,422.23,150
12509.00,424.51,150
12519.00,426.77,150
12529.00,424.93,150
12539.00,426.34,150
12549.00,428.46,150
12559.00,425.92,150
12569.00,427.72,150
12579.00,426.68,150
12589.00,426.99,150
12599.00,428.60,150
12609.00,427.00,150
12619.00,425.30,150
12630.00,427.03,150
12640.00,428.45,150
12650.00,433.16,150
